ID,Punto de Medición,Estado,MES,Año,hora,Caudal acumulado anterior                       (m3 ) ,Caudal acumulado                   (m3 ),Lectura registro                ( L/s),"M1, M2, M3, M4, M5, MA"
SRM09,"Chaverri cinlindrico 90 Final ( 8"" )",Linea fuera de Operación,4,2022,AM,"579,299.89","529,299.89", FOP , MA 
SRM42,"Conducción Noventa a Palmar (4"")",,4,2022,AM,"762,749.71","799,625.58",16.78, MA 
SRM05,"Vertedero Tanque Noventa (18"") (Intrusivo)",Punto Sin Macromedidor,4,2022,, FOP ,,, MA 
,Iris Hernández,,4,2022,AM,"43,463.99","57,817.00",5.38, M1  
PEND,Derivación ASADA San Pedro de Barva,Macromedidor en mal estado,4,2022,,,,, M2  
BM09,Botho Steinvorth,,4,2022,AM,"1,811,840.10","1,820,912.09",, MA 
BM08,Llegada de las 29 al Tanque Steinvorth,,4,2022,AM,"1,791,455.20","1,817,626.00",11.77, MA 
BM21,"Conducción Flores al Tirol (8"") Saliendo",,4,2022,AM,"4,723,443.20","4,855,063.10",62.09, MA 
,29 Catarata,,4,2022,AM,,"13,131.00",11.16,
BM16,Arrieta,,4,2022,AM,"3,321,771.70","3,385,386.60",23.24, MA 
,La Anexa,Datos Irregulares,4,2022,AM,"77,057.15","91,823.00",8.08, M1 
BM03,Carlos Steinvorth,,4,2022,AM,"3,201,825.90","3,201,826.70",15.84, MA 
,29 A,,4,2022,AM,,"19,003.00",12.76, M1 
BM14,Sacramento,,4,2022,AM,"2,973,072.00","3,016,250.00",14.15, MA 
BM19,"Marin Cañas Electromagnetico 2""",,4,2022,PM,"188,169.00","190,728.00",1.09, MA 
BM13,"Llegada al Tanque Marin Cañas  ( 6"")",,4,2022,PM,"9,520,115.00","9,608,044.00",52.9, MA 
BM20,"Chorreras a San Isidro  II  (6"")  J",,4,2022,AM,"5,848,592.00","5,897,974.00",18.5, MA 
BM18,"Chorreras a San Isidro I  (6"")    J",,4,2022,AM,"7,775,857.00","7,866,463.00",29.99, MA 
BM15,"Marin Cañas Chorreras  ( 8"")",,4,2022,AM,"6,521,154.10","6,617,626.00",28.9, MA 
BM10,"El Higueron 8""  (6"")",,4,2022,AM,"5,885,828.00","5,990,736.00",32.94, MA 
BM11,"LA Gemela #1 (6"")",,4,2022,AM,"3,855,008.00","3,875,617.00",7.58, MA 
BM12,"LA Gemela #2  (6"")",,4,2022,AM,"5,602,795.00","5,655,542.00",19.11, MA 
BM06,Chorreras Naciente 350 mm  (Intrusivo),,4,2022,PM,,,65.35, M2 
SRM20,"Marin Cañas  Brasilia (4"") (en Tanque Brasilia)",,4,2022,AM,"697,832.00","753,500.00",21.55, MA 
SRM21,"Conducción Flores al Tirol (6"") Llegando",,4,2022,AM,"961,056.00","1,061,731.00",42.25, M1 
SRM24,"Purificador Chalet Ingreso  Sn Rafael (6"")",,4,2022,AM,"1,131,053.00","1,209,439.00",28.28, MA 
SRM23,"Purificador Chalet Salida  Sn Rafael (6"")",,4,2022,AM,"973,510.00","1,046,439.00",27.76, MA 
,Mata Plátano,,4,2022,PM,,"8,597.04",12.2,
SPM01,"Pozo Miraflores        ( 8"" )",,5,2022,AM,"2,849,243.00","2,973,699.00",48, MA 
HM26,"Pozo La Esperanza I A ( 6"" )",,5,2022,AM,"4,636,327.00","4,761,983.00",49.4, MA 
HM15,"Pozo La Esperanza II  ( 6"" )",,5,2022,AM,"4,292.00","4,292.00", FOP , MA 
HM07,Pozo Real Santamaría,,5,2022,AM,"15,822,589.00","16,006,492.00",73.89, MA 
HM17,"Pozo Trebol (8"")",,5,2022,AM,"3,315,973.00","3,468,237.00",68.4, MA 
HM10,"Pozo Monte Alegre ( 6"" )",,5,2022,AM,"715,256.12","752,434.73",19, MA 
HM12,"Pozo Granada ( 10"" )",,5,2022,AM,"3,472,475.00","3,561,170.00",34.5, MA 
HM21,"Pozo Aurora II  ( 4"" )",,5,2022,AM,"154,816.00","156,460.00", FOP , MA 
HM20,"Pozo Aurora III  ( 4"" )",,5,2022,AM,"135,775.73","135,775.73", FOP , MA 
HM11,"Pozo Malinches   I ( 6"" )",,5,2022,AM,"182,527.27","301,004.63",48.45, MA 
HM22,Medidor para venta de agua Malinches,,5,2022,AM,930.67,960.67, FOP , MA 
HM14,"Pozo Malinches  II  ( 6"" )",Macromedidor en mal estado,5,2022,AM,"2,997,530.00",, FOP , M2 
HM06,"Pozo San Vicente        ( 10"" )",,5,2022,AM,"7,258,852.00","7,384,403.00",52.7, MA 
HM18,"Pozo Claretiano         ( 10"" )",,5,2022,AM,"5,155,273.00","5,277,803.00",48.5, MA 
HM19,"Pozo Boruca (8"")",,5,2022,AM,"4,713,216.60","36,755.04",23.47, MA 
BM17,"Pozo Malinches Real  ( 8"" )",,5,2022,AM,"1,110,415.00","1,170,505.50",29.23, MA 
SRM28,"Pozo Los Altos I  ( 4"" )",,5,2022,AM,"278,952.00","302,493.00", FOP , MA 
SRM37,Pozo Los Altos II ,,5,2022,AM,"1,699,644.70","1,753,953.60",29.11, MA 
SRM32,"Pozo Matasanos      ( 4"" )",,5,2022,AM,"434,406.00","443,321.00", FOP , MA 
SRM26,Pozo Joya 1,,5,2022,AM,"486,464.89","503,616.47", FOP , MA 
SRM33,Pozo Joya 2,,5,2022,AM,"3,251,345.20","3,311,807.10", FOP , MA 
HM13,"Pozo Joya 3 (8"")",,5,2022,AM,"2,249,439.00","2,333,977.00",35.1, MA 
SRM30,"Pozo Santiago ( 8"" )",,5,2022,AM,"1,446,091.00","1,517,858.00",29.8, MA 
SRM25,"Pozo Burial       ( 6"" )",,5,2022,AM,"1,473,354.00","1,527,325.00", FOP , MA 
SRM12,"Pozo Highland Ranch (3"")",,5,2022,AM,"591,305.00","597,744.00", FOP , MA 
SIM04,Pozo Santa Cruz I        ,,5,2022,AM,"1,614,486.74","1,624,457.40", FOP , MA 
SIM02,"Pozo Santa Cruz II (8"")",,5,2022,AM,"1,112,167.00","1,153,937.00", FOP , MA 
SIM12,"Mata Maiz Llegando al Tanque 4""",,5,2022,AM,"550,117.00","580,836.00",9.1, MA 
SIM13,"Mata Caña llegando al Tanque 4""",,5,2022,AM,"846,811.00","867,496.00",6.8, MA 
SIM14,"Limpieza Tanque Victoria 8""",Datos Irregulares,5,2022,AM,"19,829.00","19,829.00",, MA 
SIM01,"Tanque Succion  tanque Victoria 6""",,5,2022,AM,"1,294,948.00","1,344,247.00",15, MA 
SIM09,"Rebombeo Chizos t. victoria 6""",,5,2022,AM,"822,358.29","823,384.52", FOP , MA 
SIM10,"Rebombeo Victoria  hacia el norte 4""",,5,2022,AM,"17,733.17","17,944.57", FOP , MA 
PEND,"Victoria Saliendo 6""",,5,2022,AM,"1,443,231.00","1,483,910.00", FOP , MA 
SIM16,"Rebombeo Sn Josecito 1  T Sta Cecilia (4"")",,5,2022,AM,"251,807.00","256,427.00",, MA 
SIM05,"Desarenador Sta Cecilia  T Sta Cecilia Oeste (4"")",,5,2022,AM,"441,081.80","453,844.13",8.49, MA 
SIM08,"Desarenador Sta Cecilia  T Sta Cecilia Este (4"")",,5,2022,AM,"431,940.71","443,793.11",14.09, MA 
SIM06,"Fuente Yurro Hondo T Chilillal (4"")",,5,2022,AM,"165,155.00","172,434.00",3.71, MA 
SIM07,"Fuente Tranqueras T Chilillal (4"")",,5,2022,AM,"3,823.00","13,883.00",3.51, MA 
SRM04,Entrada Predio  Breña Mora (Estación Esquina),Estación Fuera de Operación Definitiva,5,2022,,"70,139.00",,, MA 
